pc1,pc2,cluster
1.253285575568318,1.3419549846400587,1
1.9991957348507392,1.5624299856305992,1
-1.9333410592113203,-0.22307503158479958,0
0.6256048395100721,-0.49511831167549536,1
-0.8801519234958279,2.9110651707270714,0
-1.6100754776007211,0.44132224578170864,0
-1.4692978150403082,-1.2608315674183572,0
-1.1375576638353782,-0.14068358461106892,0
-0.9651972270468803,0.18472691911726768,0
-1.340360907515715,-0.6656071910204757,0
-1.3809149595118997,0.3317150388629395,0
0.26398188078324014,1.1741242139473633,1
0.8666231653529142,-0.020410174674681425,1
2.41524874939321,-1.0928270068117556,1
-1.2306165144474581,-0.42522873744860273,0
2.019127848096446,-0.5848892400896041,1
1.196274871287818,0.07689707385771699,1
0.20494569341797464,-1.602314201121969,1
1.766145868753523,-1.4564804715479207,1
0.8795880978994884,-0.48178882205694085,1
0.17554271366540194,-0.9635827794436567,1
2.017012459947495,0.22282864442064398,1
0.3424239870072733,1.0992132148395144,1
-2.3609350193600416,-0.4338004883278615,0
-1.12603129231819,-1.49004167480506,0
-0.4681347851230484,-1.798515372746242,0
2.162538968266559,-1.8418579356262832,1
-0.09076415044375007,2.716318884371245,0
0.5766226017251436,-0.8355065630578233,1
0.23980928574588575,0.017482804780420136,1
-2.2368759721311036,-1.5786337491693265,0
-2.277694218140174,1.4399818435290834,0
2.4018014629588356,-1.000394308274754,1
-0.871227678881975,0.7192003479278507,0
0.6491843076074203,-1.7092319358135128,1
2.0033742074672314,1.8589116281709113,1
0.42439592341940746,-0.3308347108120079,1
1.4641972193040718,1.1230504703252948,1
-0.3751870127913618,-0.6052052037988699,0
1.8583613042369782,1.486155046405615,1
0.3761331903127484,0.08300783976071918,1
1.2831891624804184,-1.8604554603252286,1
1.8957375450957523,-0.717525721131153,1
-2.6476764930900196,2.5710599499880615,0
0.21405385638916136,-0.6138750160014509,1
0.06307198696401556,-1.2629192068607495,1
1.5589261306763689,-0.4726063458736355,1
1.3277270402630232,1.7766432547737674,1
1.9322377363137113,0.20017930405846196,1
1.0555683222478105,-1.0220130611348064,1
2.015852856067635,1.3043504769182244,1
-0.6752225916591639,1.1170336270375962,0
0.755402280839903,-0.479718457638844,1
0.40684695963713846,0.7895608494608725,1
1.8846498405403131,0.5924795244623168,1
-2.4195106018463064,0.22265656012721247,0
-1.9209207807858455,-1.241972942929902,0
-0.43206884916623056,0.6910916142063365,0
2.1458503134298033,-0.9767255320317245,1
0.5468634862469169,0.3560662838971682,1
-0.7905367294499721,-0.29443648924162913,0
-0.0701390580597029,0.34038783910868964,0
0.4101444880578091,2.5735488620497864,1
-2.1712386651567246,-1.024920214497957,0
1.9446071242347935,-1.0580425308349841,1
-1.893864937496735,-1.5990633934069445,0
-1.7628609702009048,-1.5367655084532696,0
-0.5569360177389691,0.2164606183099559,0
-0.9308185814826091,-1.2357103965469025,0
0.3847995021205073,-1.5203911801917016,1
-0.9396462786691174,0.11441439431000089,0
2.622371828438406,-0.35090592101900464,1
-1.6412501508903243,-0.30854888722142987,0
-2.2701611414038165,0.08648102308390726,0
-0.33521625030380664,-0.6828031094924253,0
1.4515905890791405,1.8799480551889305,1
0.5909328196943213,1.3496916446153575,1
1.6453141366932458,2.898154296369203,1
-2.5670427025002294,-0.7477857062211735,0
1.0239905638874582,-0.49942257215897223,1
-1.591167541015907,-0.8990709765648108,0
-1.839323541842847,-0.6683511169841894,0
1.0896450252140875,-2.00519097902961,1
-1.7938056544012955,-0.700692045293102,0
2.177742252072138,0.19103203749241005,1
-1.6056204561848795,0.35151005061626783,0
-0.7356471978229121,-0.49811882463944784,0
-1.0541914751339092,1.5999773316964836,0
-0.6892576323479254,0.5499767193091584,0
1.9765998207057383,0.4852016921445752,1
-1.7138472345733573,-0.46846808004844,0
-1.7930470237436147,-0.9265252099372914,0
-1.665020289645827,-0.7055948397113321,0
-0.7540630013695634,2.208066858284197,0
2.1168002493696885,-0.6967553881328928,1
0.7639780823998775,1.5741435355179587,1
1.2526740401652723,0.31630684763195094,1
-1.2112520510652074,-0.42965523281204054,0
